"requirement_id","class","surface","operation","positive_test_id","forbidden_test_id","persisted_evidence","audit_evidence","migration_query","visual_reference","status"
"AUD-01","USER-EXPANSION|ENGINEERING-CONTROL","/cabinet/admin/audit","ListAuditEvents|GetAuditEvent","DB-AUD-APPEND-001","DB-AUD-MUTATE-NEG-001","audit row + signed checkpoint","AUD-AUD-READ-001","N/A(not_applicable_to_requirement)","ADM-05","specified"
"AUD-02","ENGINEERING-CONTROL","audit export/detail","ExportAuditEvents","SEC-AUD-REDACT-001","SEC-AUD-SECRET-NEG-001","redacted export artifact","AUD-AUD-EXPORT-001","N/A(not_applicable_to_requirement)","ADM-05","specified"
"CRM-01","CONTRACT","/cabinet/crm/relocation|students","ListCases","E2E-CRM-FUNNELS-001","E2E-CRM-CROSSSCOPE-403","case/funnel counts","AUD-CRM-READ-001","MIG-Q-DEALS-001","CRM-02|CRM-03","specified"
"CRM-02","CONTRACT|ENGINEERING-CONTROL","CRM kanban/list","TransitionCase","E2E-CRM-TRANSITION-001","E2E-CRM-TRANSITION-NEG-001","case state/version/history","AUD-CRM-TRANSITION-001","MIG-Q-STAGES-001","CRM-02|CRM-03","specified"
"CRM-03","CONTRACT","/cabinet/crm/cases/:id","GetCase|UpdateCase","E2E-CRM-360-001","E2E-CRM-360-403","case/profile/timeline rows","AUD-CRM-UPDATE-001","MIG-Q-CASEPERSON-001","CRM-04|CRM-05","specified"
"CRM-04","CONTRACT","public intake + case source","CreateApplication","API-INTAKE-001","API-INTAKE-NEG-001","durable intake + source/UTM/consent","AUD-INTAKE-001","MIG-Q-SOURCE-001","CRM-04","specified"
"CRM-05","CONTRACT|ENGINEERING-CONTROL","/cabinet/crm/duplicates","MergeCandidate","E2E-CRM-MERGE-001","E2E-CRM-MERGE-NEG-001","merge/reversible ledger","AUD-CRM-MERGE-001","MIG-Q-DUPLICATES-001","CRM-04","specified"
"CRM-06","CONTRACT","case Arctic Beacon tab","LinkRecommender|ReviewDocument","E2E-CRM-MAYAK-001","E2E-CRM-MAYAK-NEG-001","recommender/document rows","AUD-CRM-MAYAK-001","MIG-Q-RECOMMENDER-001","CRM-05","specified"
"CRM-07","CONTRACT","/cabinet/crm/employers","CreateEmployer|TransitionEmployerReferral","E2E-CRM-EMPLOYER-001","E2E-CRM-EMPLOYER-NEG-001","employer/referral/history rows","AUD-CRM-EMPLOYER-001","MIG-Q-REFERRALS-001","CRM-05|CRM-06","specified"
"CRM-08","CONTRACT","case relocation tab","UpdateCase|TransitionCase","E2E-CRM-RELOCATION-001","E2E-CRM-RELOCATION-NEG-001","relocation profile + completion history","AUD-CRM-RELOCATION-001","MIG-Q-RELOCATION-001","CRM-05","specified"
"CRM-09","CONTRACT","/cabinet/crm/tasks","CreateCrmTask|TransitionCrmTask","E2E-CRM-TASK-001","E2E-CRM-TASK-NEG-001","CRM task/history rows","AUD-CRM-TASK-001","MIG-Q-TASKS-001","CRM-07","specified"
"CRM-10","CONTRACT","/cabinet/crm/communications","ConfirmCommunicationDraft|QueueCommunication","E2E-CRM-COMMS-001","E2E-CRM-COMMS-NEG-001","outbox/delivery/timeline rows","AUD-CRM-COMMS-001","MIG-Q-ACTIVITIES-001","CRM-08","specified"
"CRM-11","CONTRACT","/cabinet/crm/dashboard","GetCrmDashboard|ListNotifications","E2E-CRM-DASH-001","E2E-CRM-DASH-403","dashboard query snapshot + notification rows","AUD-CRM-DASH-001","MIG-Q-DASH-001","CRM-01","specified"
"CRM-12","CONTRACT","/cabinet/crm/reports","BuildCrmReport|ExportCrmReport","E2E-CRM-REPORT-001","E2E-CRM-REPORT-NEG-001","report run/formula version/export","AUD-CRM-REPORT-001","MIG-Q-REPORT-001","CRM-09","specified"
"CRM-13","CONTRACT","/cabinet/crm/settings","UpdateCrmSettings","E2E-CRM-SETTINGS-001","E2E-CRM-SETTINGS-403","versioned CRM config","AUD-CRM-SETTINGS-001","N/A(not_applicable_to_requirement)","CRM-10","specified"
"PM-01","CONTRACT","/cabinet/projects/directions|:id","CreateProject|MoveProject|ArchiveProject","E2E-PM-TREE-001","E2E-PM-TREE-NEG-001","direction/project hierarchy/history","AUD-PM-TREE-001","MIG-Q-PROJECTS-001","PM-01|PM-02","specified"
"PM-02","CONTRACT","/cabinet/projects/tasks","CreateProjectTask|UpdateProjectTask","E2E-PM-TASK-001","E2E-PM-TASK-NEG-001","project task/subtask/file/comment/history","AUD-PM-TASK-001","MIG-Q-PMTASK-001","PM-03","specified"
"PM-03","CONTRACT","project task card/kanban","TransitionProjectTask","E2E-PM-STATUS-001","E2E-PM-STATUS-NEG-001","task state/version/history","AUD-PM-STATUS-001","MIG-Q-PMSTATUS-001","PM-03|PM-04","specified"
"PM-04","CONTRACT","project list/kanban/gantt","ListProjectTasks","E2E-PM-VIEWS-001","E2E-PM-VIEWS-403","same-filter task ID snapshot","AUD-PM-VIEWS-001","N/A(not_applicable_to_requirement)","PM-02|PM-03|PM-04","specified"
"PM-05","CONTRACT","project dashboard/workload","BuildProjectReport","E2E-PM-REPORT-001","E2E-PM-REPORT-403","report run/formula version","AUD-PM-REPORT-001","N/A(not_applicable_to_requirement)","PM-01|PM-02","specified"
"PM-06","CONTRACT","/cabinet/projects/settings","AssignProjectRole|UpdateProjectSettings","E2E-PM-RBAC-001","E2E-PM-RBAC-NEG-001","role assignment + project config","AUD-PM-RBAC-001","MIG-Q-PMROLES-001","PM-05|ADM-02","specified"
"PM-07","CONTRACT","notifications drawer/project settings","ListNotifications|UpdateNotificationPreference","E2E-PM-NOTIFY-001","E2E-PM-NOTIFY-NEG-001","notification/outbox/preference rows","AUD-PM-NOTIFY-001","N/A(not_applicable_to_requirement)","PM-05|FND-01","specified"
"PLT-01","CONTRACT","CRM task and project task surfaces","CreateCrmTask|CreateProjectTask","ARCH-PLT-DOMAINS-001","E2E-PLT-CROSSDOMAIN-403","separate tables/API IDs","AUD-PLT-DOMAINS-001","MIG-Q-TASKCLASS-001","CRM-07|PM-03","specified"
"AI-01","CONTRACT","global/context AI","AiSummarize|AiSearch","E2E-AI-READ-001","E2E-AI-READ-NEG-001","AI request/draft/source links","AUD-AI-READ-001","N/A(not_applicable_to_requirement)","AI-01|AI-02","specified"
"AI-02","USER-EXPANSION","AI quick task","CreateAiCrmTaskDraft|CreateAiProjectTaskDraft|ConfirmAiCrmTaskDraft|ConfirmAiProjectTaskDraft","E2E-AI-TASK-001","E2E-AI-TASK-NEG-001","draft hash + created task","AUD-AI-TASK-001","N/A(not_applicable_to_requirement)","AI-01","specified"
"AI-03","USER-EXPANSION|ENGINEERING-CONTROL","AI bulk task","CreateAiBatchDraft|ConfirmAiBatch","E2E-AI-BATCH-001","E2E-AI-BATCH-NEG-001","selection fingerprint + per-item results","AUD-AI-BATCH-001","N/A(not_applicable_to_requirement)","AI-04","specified"
"AI-04","USER-EXPANSION","/cabinet/ai/reports","CreateAiReportDraft|ConfirmAiReportDraft","E2E-AI-REPORT-001","E2E-AI-REPORT-NEG-001","report params/result/formula","AUD-AI-REPORT-001","N/A(not_applicable_to_requirement)","AI-03","specified"
"AI-05","ENGINEERING-CONTROL","all AI surfaces","ConfirmAiCrmTaskDraft|ConfirmAiProjectTaskDraft|ConfirmAiBatch|ConfirmAiReportDraft","SEC-AI-POLICY-001","SEC-AI-INJECTION-NEG-001","permission/version/hash evidence","AUD-AI-POLICY-001","N/A(not_applicable_to_requirement)","AI-01|AI-02|AI-03|AI-04","specified"
"AI-06","ENGINEERING-CONTROL","AI error state","N/A(not_applicable_to_requirement)","E2E-AI-FALLBACK-001","E2E-AI-PARTIALWRITE-NEG-001","manual task/report result; no AI mutation","AUD-AI-FAIL-001","N/A(not_applicable_to_requirement)","FND-01|AI-01","specified"
"MIG-01","CONTRACT|ENGINEERING-CONTROL","/cabinet/admin/migration/runs","ProfileMigrationRun|DryRunMigration","MIG-RUN-001","MIG-RUN-NEG-001","run state + checksum + manifest version","AUD-MIG-RUN-001","MIG-Q-MANIFEST-001","MIG-01","specified"
"MIG-02","CONTRACT","/cabinet/admin/migration/conflicts","ResolveMigrationConflict","MIG-CONFLICT-001","MIG-CONFLICT-NEG-001","conflict outcome/version","AUD-MIG-CONFLICT-001","MIG-Q-CONFLICT-001","MIG-02","specified"
"MIG-03","ENGINEERING-CONTROL","/cabinet/admin/migration/reconciliation","ExecuteCutover|ExecuteRollback","MIG-CUTOVER-001","MIG-CUTOVER-NEG-001","watermark/freeze/delta/go-no-go/rollback","AUD-MIG-CUTOVER-001","MIG-Q-RECON-001","MIG-03","specified"
"MIG-04","USER-EXPANSION|ENGINEERING-CONTROL","/cabinet/admin/migration/employees","ClassifyLegacyActor","MIG-USERS-001","MIG-USERS-NEG-001","218 actor outcomes","AUD-MIG-USERS-001","MIG-Q-USERS-001","MIG-04","specified"
"MIG-05","USER-EXPANSION","migration employees detail","ReviewEmployeeAccountEligibility","MIG-EMPLOYEE-001","MIG-EMPLOYEE-NEG-001","employee profile + account decision + legacy actor","AUD-MIG-EMPLOYEE-001","MIG-Q-EMPLOYEE-001","MIG-04","specified"
"MIG-06","USER-EXPANSION|ENGINEERING-CONTROL","migration employee relations","BuildEmployeeAssociations","MIG-RELATIONS-001","MIG-RELATIONS-NEG-001","typed target relations or explicit outcomes","AUD-MIG-RELATIONS-001","MIG-Q-RELATIONS-001","MIG-04","specified"
"MIG-07","CONTRACT","migration run/reconciliation","ImportCrmDomain","MIG-CRM-001","MIG-CRM-NEG-001","entity/relationship ledger coverage","AUD-MIG-CRM-001","MIG-Q-CRM-001","MIG-01|MIG-02|MIG-03|MIG-04","specified"
"MIG-08","ENGINEERING-CONTROL","migration evidence","ScanTargetForLegacySecrets","MIG-SECRET-001","MIG-SECRET-NEG-001","target secret scan=0; raw staging isolated/denylisted","AUD-MIG-SECRET-001","MIG-Q-SECRET-001","MIG-03","specified"
"MIG-09","CONTRACT|ENGINEERING-CONTROL","migration file reconciliation","ImportFileBinary|ReconcileFiles","MIG-FILE-001","MIG-FILE-NEG-001","file checksum/size/scan/outcome","AUD-MIG-FILE-001","MIG-Q-FILES-001","MIG-03","specified"
"UX-01","CONTRACT|USER-EXPANSION","all approved screens","N/A(not_applicable_to_requirement)","VIS-REF-001","VIS-REF-NEG-001","same-viewport composite artifact","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","all 33 refs","specified"
"UX-02","USER-EXPANSION","core task/report flows","N/A(not_applicable_to_requirement)","UX-BEGINNER-001","UX-BEGINNER-P1-001","success/time/help metrics","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","CRM-07|PM-03|AI-01|AI-03","specified"
"UX-03","ENGINEERING-CONTROL","all registries/details","N/A(not_applicable_to_requirement)","E2E-STATES-001","E2E-STATES-MISSING-001","state fixture screenshots/tests","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","FND-01 + screen family","specified"
"UX-04","ENGINEERING-CONTROL","all critical viewports","N/A(not_applicable_to_requirement)","A11Y-001","A11Y-CRITICAL-NEG-001","axe + keyboard + screen-reader report","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","RSP-01 + new refs","specified"
"BRAND-01","USER-EXPANSION","brand review","N/A(not_applicable_to_requirement)","BRAND-CHOICE-001","BRAND-UNAPPROVED-NEG-001","selected master/light/dark/compact assets","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","3 ImageGen concepts","specified"
"OPS-01","ENGINEERING-CONTROL","health/readiness/monitoring","GetHealth|GetReadiness","OPS-HEALTH-001","OPS-SPA-FALLBACK-NEG-001","JSON status + metrics snapshot","AUD-OPS-CONFIG-001","N/A(not_applicable_to_requirement)","FND-01","specified"
"OPS-02","ENGINEERING-CONTROL","backup/restore evidence","RunBackup|VerifyRestore","OPS-RESTORE-001","OPS-STALEBACKUP-NEG-001","backup checksum + restore result/RPO/RTO","AUD-OPS-RESTORE-001","N/A(not_applicable_to_requirement)","MIG-03","specified"
"DOC-01","CONTRACT","delivery package","N/A(not_applicable_to_requirement)","DOC-PACK-001","DOC-PACK-MISSING-001","source/OpenAPI/schema/manuals/training/support register","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","N/A(not_applicable_to_requirement)","specified"
"ACC-01","CONTRACT|ENGINEERING-CONTROL","release gates","N/A(not_applicable_to_requirement)","ACC-GATES-001","ACC-S0S1-NEG-001","zero S0/S1 + signed gate evidence","AUD-RELEASE-001","MIG-Q-RECON-001","all","specified"
